Sample, total_barcodes, intersection, union,  Total_TRA, TRA_1, TRA_2, TRA>=2,Total_TRB, TRB_1, TRB_2, TRB>=2, Number of reads with full barcode, Number of reads with full barcode mathing, Number of reads with not-full barcode, Number of reads with not-full barcode mathing
03T3_S48_L001_R2_001,635,12,221,43,40,3,0,190,190,0,0,3060,2608,3391,3099
03T4_S39_L001_R2_001,2639,237,1359,490,448,38,4,1106,1106,0,0,19868,17625,25033,22298
03T8_S37_L001_R2_001,1239,96,583,184,173,11,0,495,495,0,0,7311,6425,9011,8009
05T3_S4_L001_R2_001,2673,292,1553,394,367,24,3,1451,1451,0,0,19108,15309,23796,19742
05T4_S3_L001_R2_001,2289,420,1791,520,468,49,3,1691,1691,0,0,20243,17269,25797,21984
05T8_S42_L001_R2_001,1264,224,849,302,265,29,8,771,771,0,0,25904,15918,32049,19925
07N4_S46_L001_R2_001,425,23,200,38,35,3,0,185,185,0,0,2507,2284,3049,2836
07N8_S59_L001_R2_001,359,0,52,13,11,2,0,39,39,0,0,1433,729,1894,952
07T4_S1_L001_R2_001,2310,218,1555,368,346,20,2,1405,1405,0,0,7515,6618,9187,8124
07T8_S52_L001_R2_001,645,107,425,161,129,28,4,371,371,0,0,6958,6296,8493,7677
08N4_S47_L001_R2_001,679,66,371,121,108,8,5,316,316,0,0,4696,4293,5806,5316
08N8_S61_L001_R2_001,82,6,30,15,12,2,1,21,21,0,0,2285,2119,2887,2693
08T4_S45_L001_R2_001,3505,790,2588,1063,803,182,78,2315,2315,0,0,33846,29805,43442,38521
08T8_S38_L001_R2_001,1437,209,891,324,283,36,5,776,776,0,0,14665,11145,19459,14925
PBMC10_S54_L001_R2_001,732,165,452,262,178,61,23,355,355,0,0,24398,22840,28295,26506
PBMC11_S13_L001_R2_001,6378,409,3794,787,714,62,11,3416,3416,0,0,27548,25364,32600,30015
PBMC12_S14_L001_R2_001,5001,577,3314,1114,1008,94,12,2777,2777,0,0,23536,21527,28254,25786
PBMC13_S15_L001_R2_001,4920,297,2755,656,618,36,2,2396,2396,0,0,13237,12220,17122,15870
PBMC14_S16_L001_R2_001,2179,150,1371,287,280,7,0,1234,1234,0,0,5810,5326,7439,6861
